algorithm,data,ourAlgrothm_time,lzma_time,gzip_time,bzip2_time,7zip_time,zip_time
IPLoM_results,HPC_0.10,0.00539,0.00149,0.00068,0.00528,0.00526,0.00403
IPLoM_results,BGL_0.80,0.00261,0.00075,0.00035,0.00123,0.00436,0.00389
IPLoM_results,Linux_0.60,0.00318,0.00067,0.00034,0.00219,0.00389,0.00353
IPLoM_results,HDFS_0.80,0.00139,0.00056,0.00031,0.00137,0.00396,0.00352
IPLoM_results,Hadoop_0.60,0.0025,0.00141,0.00091,0.00607,0.0049,0.00409
IPLoM_results,BGL_0.30,0.00477,0.00117,0.00054,0.00417,0.00459,0.00372
IPLoM_results,HDFS_0.20,0.00457,0.00113,0.00067,0.00586,0.00525,0.00445
IPLoM_results,Proxifier_0.20,0.01155,0.0016,0.0008,0.00669,0.00771,0.00439
IPLoM_results,HDFS_0.50,0.00299,0.00076,0.00046,0.00316,0.00447,0.00383
IPLoM_results,HDFS_0.90,0.00093,0.00046,0.00024,0.00071,0.00371,0.00347
IPLoM_results,Linux_0.20,0.0052,0.00091,0.00048,0.00327,0.00419,0.00352
LKE_results,HPC_0.20,0.00496,0.00044,0.00023,0.00329,0.0038,0.0034
LKE_results,HDFS_0.60,0.00249,0.00084,0.00047,0.0033,0.00777,0.00685
LKE_results,HDFS_0.70,0.00337,0.00088,0.00044,0.00246,0.00583,0.00495
LKE_results,Zookeeper_0.10,0.00601,0.0016,0.00094,0.00755,0.00806,0.00595
LKE_results,Linux_0.40,0.00335,0.00062,0.00034,0.00317,0.00399,0.00328
LKE_results,Linux_0.80,0.00138,0.00047,0.00024,0.00109,0.00341,0.00328
LKE_results,HPC_0.30,0.00336,0.0005,0.00024,0.00281,0.00366,0.00325
LKE_results,Hadoop_0.20,0.00496,0.00052,0.00027,0.0031,0.004,0.00347
LKE_results,Zookeeper_0.60,0.00257,0.00055,0.00029,0.00201,0.0042,0.00576
LKE_results,Zookeeper_0.30,0.00371,0.00075,0.00039,0.00372,0.00531,0.00542
LKE_results,Zookeeper_0.80,0.00403,0.0007,0.00038,0.00171,0.00677,0.00482
LKE_results,HDFS_0.30,0.00442,0.00084,0.00047,0.00414,0.00446,0.00457
LKE_results,Proxifier_0.30,0.0038,0.00038,0.00021,0.00301,0.00375,0.00366
LKE_results,Proxifier_0.40,0.00357,0.00092,0.00051,0.00414,0.00432,0.00454
LKE_results,HPC_0.50,0.00287,0.00042,0.00024,0.0021,0.00365,0.00334
LKE_results,HPC_0.60,0.00264,0.00083,0.0004,0.00231,0.00443,0.00368
LKE_results,Zookeeper_0.90,0.00088,0.00051,0.00028,0.00086,0.00376,0.00339
LKE_results,BGL_0.40,0.00318,0.0006,0.00031,0.00286,0.00405,0.00339
LKE_results,Zookeeper_0.40,0.00292,0.00092,0.00055,0.00431,0.00468,0.0057
LKE_results,HDFS_0.40,0.00394,0.00051,0.00028,0.003,0.00387,0.00359
LKE_results,HDFS_0.10,0.00469,0.00094,0.00058,0.00561,0.00492,0.00431
LKE_results,Linux_0.70,0.00199,0.00051,0.00027,0.00161,0.00394,0.00358
LKE_results,Hadoop_0.90,0.00075,0.00046,0.00026,0.00077,0.00375,0.00358
LKE_results,BGL_0.50,0.0028,0.00067,0.00034,0.00268,0.00468,0.00397
LKE_results,Proxifier_0.10,0.0074,0.00099,0.00053,0.00462,0.00456,0.00378
LKE_results,Hadoop_0.80,0.00161,0.00051,0.0003,0.00144,0.00512,0.00462
LKE_results,Proxifier_0.90,0.00066,0.00036,0.0002,0.00055,0.00336,0.00329
