algorithm,data,ourAlgrothm_time,lzma_time,gzip_time,bzip2_time,7zip_time,zip_time
IPLoM_results,Hadoop_0.90,0.00315,0.00097,0.00062,0.00187,0.00637,0.00571
IPLoM_results,BGL_0.50,0.01065,0.00182,0.0008,0.00578,0.00691,0.00538
IPLoM_results,Proxifier_0.10,0.01069,0.00251,0.00125,0.01036,0.00962,0.00762
IPLoM_results,Hadoop_0.80,0.00413,0.00093,0.0005,0.00249,0.00516,0.00597
IPLoM_results,Proxifier_0.90,0.00323,0.00111,0.00057,0.00196,0.00666,0.00571
IPLoM_results,Zookeeper_0.70,0.00543,0.00098,0.00053,0.00299,0.00514,0.00532
IPLoM_results,Zookeeper_0.50,0.00495,0.0012,0.00055,0.00389,0.00504,0.00423
IPLoM_results,Proxifier_0.80,0.00227,0.00065,0.00032,0.00138,0.00518,0.00484
IPLoM_results,HPC_0.80,0.00284,0.00139,0.00073,0.00324,0.00687,0.00565
IPLoM_results,BGL_0.10,0.01475,0.0029,0.00136,0.01237,0.00785,0.00408
IPLoM_results,Hadoop_0.40,0.01259,0.00141,0.00085,0.00636,0.00665,0.0058
IPLoM_results,HPC_0.90,0.00281,0.00108,0.00057,0.00193,0.00687,0.00654
IPLoM_results,Hadoop_0.50,0.01035,0.00124,0.0008,0.00485,0.00556,0.00702
IPLoM_results,Hadoop_0.10,0.00979,0.00262,0.00162,0.01459,0.00552,0.00494
IPLoM_results,Hadoop_0.30,0.01324,0.00193,0.00118,0.00947,0.00545,0.00458
IPLoM_results,Linux_0.90,0.00288,0.00055,0.00026,0.00078,0.00551,0.00473
IPLoM_results,Hadoop_0.70,0.00276,0.00113,0.00052,0.00292,0.00609,0.00522
IPLoM_results,Proxifier_0.50,0.00647,0.00209,0.00099,0.00706,0.00669,0.00659
IPLoM_results,Linux_0.10,0.01631,0.00115,0.00059,0.01084,0.00536,0.00475
IPLoM_results,BGL_0.20,0.01366,0.00147,0.00065,0.00531,0.00564,0.00718
IPLoM_results,Zookeeper_0.20,0.00608,0.00188,0.00106,0.00853,0.00983,0.00811
IPLoM_results,Proxifier_0.60,0.00877,0.00165,0.0008,0.00537,0.00852,0.00735
IPLoM_results,BGL_0.90,0.00328,0.00137,0.00062,0.00201,0.00712,0.00617
IPLoM_results,Linux_0.50,0.00925,0.0014,0.0007,0.00526,0.00733,0.0067
IPLoM_results,HPC_0.40,0.00953,0.00168,0.00072,0.00519,0.00596,0.00651
IPLoM_results,BGL_0.60,0.00678,0.00238,0.00109,0.00683,0.00788,0.00625
IPLoM_results,HPC_0.70,0.00646,0.00116,0.00057,0.00308,0.00593,0.00458
IPLoM_results,BGL_0.70,0.00592,0.00156,0.00069,0.0038,0.00559,0.00436
IPLoM_results,Linux_0.30,0.01109,0.00198,0.00096,0.00888,0.00544,0.00556
IPLoM_results,Proxifier_0.70,0.00738,0.00128,0.00066,0.00335,0.00478,0.00474
IPLoM_results,HPC_0.10,0.01482,0.00292,0.00125,0.0106,0.00909,0.00782
IPLoM_results,BGL_0.80,0.00673,0.00139,0.00063,0.00318,0.00748,0.00605
IPLoM_results,Linux_0.60,0.00673,0.00108,0.00049,0.00346,0.00663,0.0067
IPLoM_results,HDFS_0.80,0.00459,0.00124,0.00058,0.0028,0.007,0.00628
IPLoM_results,Hadoop_0.60,0.00644,0.00101,0.00061,0.00406,0.00693,0.00645
IPLoM_results,BGL_0.30,0.00893,0.00214,0.00077,0.00672,0.00646,0.00667
IPLoM_results,HDFS_0.20,0.01264,0.00141,0.00078,0.00725,0.00667,0.00495
IPLoM_results,Proxifier_0.20,0.01351,0.00311,0.00148,0.0109,0.00733,0.00736
IPLoM_results,HDFS_0.50,0.00915,0.00133,0.0008,0.00575,0.00663,0.00645
IPLoM_results,HDFS_0.90,0.00222,0.0008,0.00037,0.00117,0.00688,0.0048
IPLoM_results,Linux_0.20,0.01246,0.00196,0.00105,0.00999,0.0056,0.00693
LKE_results,HPC_0.20,0.01372,0.00095,0.00059,0.00817,0.00756,0.00563
LKE_results,HDFS_0.60,0.00747,0.00136,0.00077,0.00541,0.00705,0.00577
LKE_results,HDFS_0.70,0.0047,0.00058,0.00031,0.00169,0.00517,0.00445
LKE_results,Zookeeper_0.10,0.00923,0.00151,0.00078,0.00699,0.00806,0.00649
LKE_results,Linux_0.40,0.00675,0.0006,0.00031,0.00297,0.00529,0.00436
LKE_results,Linux_0.80,0.00333,0.00069,0.00038,0.00172,0.0053,0.00403
LKE_results,HPC_0.30,0.00687,0.00059,0.00036,0.00436,0.00402,0.00377
LKE_results,Hadoop_0.20,0.00896,0.00072,0.00037,0.00449,0.0041,0.00364
LKE_results,Zookeeper_0.60,0.00454,0.00056,0.00032,0.00198,0.00417,0.00633
LKE_results,Zookeeper_0.30,0.01037,0.00135,0.00084,0.00841,0.00719,0.00628
LKE_results,Zookeeper_0.80,0.00495,0.00083,0.00047,0.00214,0.00768,0.00699
LKE_results,HDFS_0.30,0.00998,0.00167,0.00099,0.00921,0.00766,0.00656
LKE_results,Proxifier_0.30,0.0098,0.00084,0.00038,0.00502,0.00536,0.00476
LKE_results,Proxifier_0.40,0.0063,0.00178,0.00112,0.00886,0.00768,0.00648
LKE_results,HPC_0.50,0.00867,0.00076,0.00039,0.00382,0.00469,0.00524
LKE_results,HPC_0.60,0.00568,0.00108,0.00056,0.0033,0.00601,0.00523
LKE_results,Zookeeper_0.90,0.00186,0.00077,0.00044,0.00139,0.00507,0.0052
LKE_results,BGL_0.40,0.00653,0.0007,0.00034,0.00285,0.00681,0.00561
LKE_results,Zookeeper_0.40,0.00759,0.00177,0.00108,0.00864,0.00702,0.00597
LKE_results,HDFS_0.40,0.00942,0.00049,0.00029,0.00264,0.00444,0.00382
LKE_results,HDFS_0.10,0.0058,0.00176,0.00107,0.01037,0.00754,0.00628
