algorithm,way,sourceSize,matchResultsSize,matchResults_rate,lz4,lz4_rate,gz,gz_rate,bz,bz_rate,7z,7z_rate,zip,zip_rate,double_lz4,double_lz4_rate,double_gz,double_gz_rate,double_bz,double_bz_rate,double_7z,double_7z_rate,double_zip,double_zip_rate
LogSig_results,HDFS_0.90,25582,6238,0.24384,8352,0.32648,5248,0.20514,4450,0.17395,4625,0.18079,5337,0.20862,1076,0.04206,708,0.02768,742,0.029,798,0.03119,803,0.03139
MoLFI_results,HPC_0.20,90256,44538,0.49346,24920,0.2761,13429,0.14879,11959,0.1325,10429,0.11555,13518,0.14977,16523,0.18307,9363,0.10374,8209,0.09095,7660,0.08487,9458,0.10479
MoLFI_results,HDFS_0.60,106287,42139,0.39646,36417,0.34263,21312,0.20051,16654,0.15669,17944,0.16883,21401,0.20135,4201,0.03953,2340,0.02202,1629,0.01533,2271,0.02137,2435,0.02291
MoLFI_results,HDFS_0.70,81217,32101,0.39525,28692,0.35328,16845,0.20741,13353,0.16441,14279,0.17581,16934,0.2085,3302,0.04066,1894,0.02332,1446,0.0178,1875,0.02309,1989,0.02449
MoLFI_results,Zookeeper_0.10,212830,95343,0.44798,25582,0.1202,15225,0.07154,10292,0.04836,12483,0.05865,15314,0.07195,8492,0.0399,5312,0.02496,3200,0.01504,4607,0.02165,5407,0.02541
MoLFI_results,HPC_0.30,81320,33674,0.41409,22331,0.27461,12105,0.14886,10649,0.13095,9302,0.11439,12194,0.14995,14787,0.18184,8025,0.09868,7242,0.08906,6251,0.07687,8120,0.09985
MoLFI_results,Zookeeper_0.60,95867,53645,0.55958,12617,0.13161,7911,0.08252,6048,0.06309,6670,0.06958,8000,0.08345,5828,0.06079,3712,0.03872,2865,0.02989,3411,0.03558,3807,0.03971
MoLFI_results,Zookeeper_0.30,165392,84136,0.50871,20042,0.12118,12191,0.07371,8559,0.05175,9905,0.05989,12280,0.07425,7255,0.04387,4778,0.02889,2952,0.01785,4154,0.02512,4873,0.02946
MoLFI_results,Zookeeper_0.80,46797,26460,0.56542,5532,0.11821,3480,0.07436,3035,0.06485,3259,0.06964,3569,0.07627,2586,0.05526,1651,0.03528,1487,0.03178,1687,0.03605,1746,0.03731
MoLFI_results,HDFS_0.30,182234,78713,0.43193,60847,0.33389,34862,0.1913,26950,0.14789,29643,0.16266,34951,0.19179,6605,0.03624,3801,0.02086,2270,0.01246,3625,0.01989,3896,0.02138
