algorithm,way,sourceSize,matchResultsSize,matchResults_rate,lz4,lz4_rate,gz,gz_rate,bz,bz_rate,7z,7z_rate,zip,zip_rate,double_lz4,double_lz4_rate,double_gz,double_gz_rate,double_bz,double_bz_rate,double_7z,double_7z_rate,double_zip,double_zip_rate
Drain_results,Hadoop_0.70,57833,11307,0.19551,4829,0.0835,3112,0.05381,2212,0.03825,2119,0.03664,3201,0.05535,955,0.01651,563,0.00973,422,0.0073,386,0.00667,658,0.01138
Drain_results,Linux_0.10,130701,34105,0.26094,18423,0.14096,10722,0.08203,9876,0.07556,8028,0.06142,10811,0.08272,3578,0.02738,2523,0.0193,2922,0.02236,2526,0.01933,2618,0.02003
Drain_results,Linux_0.50,73767,25019,0.33916,11246,0.15245,6820,0.09245,6475,0.08778,5115,0.06934,6909,0.09366,3498,0.04742,2516,0.03411,2843,0.03854,2524,0.03422,2611,0.0354
Drain_results,Linux_0.30,101486,25341,0.2497,14938,0.14719,8868,0.08738,8167,0.08047,6594,0.06497,8957,0.08826,2347,0.02313,1657,0.01633,1953,0.01924,1696,0.01671,1752,0.01726
Drain_results,Linux_0.60,56532,19915,0.35228,9548,0.1689,6013,0.10636,5792,0.10246,4728,0.08363,6102,0.10794,3333,0.05896,2383,0.04215,2704,0.04783,2412,0.04267,2478,0.04383
Drain_results,Hadoop_0.60,77070,15087,0.19576,6339,0.08225,3990,0.05177,2672,0.03467,2587,0.03357,4079,0.05293,1303,0.01691,707,0.00917,508,0.00659,423,0.00549,802,0.01041
Drain_results,Linux_0.20,116100,29731,0.25608,16683,0.1437,9909,0.08535,9086,0.07826,7360,0.06339,9998,0.08612,3319,0.02859,2340,0.02016,2715,0.02339,2354,0.02028,2435,0.02097
FT_tree_results,Linux_0.40,86160,23770,0.27588,13193,0.15312,7862,0.09125,7364,0.08547,5905,0.06854,7951,0.09228,3170,0.03679,2250,0.02611,2564,0.02976,2265,0.02629,2345,0.02722
FT_tree_results,Linux_0.80,24355,8133,0.33394,5799,0.2381,3856,0.15832,3940,0.16177,3386,0.13903,3945,0.16198,2889,0.11862,2025,0.08315,2167,0.08898,2099,0.08618,2120,0.08705
FT_tree_results,Hadoop_0.20,150278,17650,0.11745,16240,0.10807,10296,0.06851,8602,0.05724,8135,0.05413,10385,0.06911,4326,0.02879,2399,0.01596,2200,0.01464,1803,0.012,2494,0.0166
FT_tree_results,Linux_0.70,40828,14931,0.3657,7696,0.1885,4959,0.12146,4913,0.12033,4000,0.09797,5048,0.12364,3136,0.07681,2215,0.05425,2486,0.06089,2263,0.05543,2310,0.05658
FT_tree_results,Hadoop_0.90,19215,2472,0.12865,1923,0.10008,1303,0.06781,1224,0.0637,1141,0.05938,1392,0.07244,362,0.01884,227,0.01181,226,0.01176,280,0.01457,322,0.01676
FT_tree_results,Hadoop_0.80,38510,4979,0.12929,3356,0.08715,2226,0.0578,1726,0.04482,1646,0.04274,2315,0.06011,658,0.01709,373,0.00969,317,0.00823,358,0.0093,468,0.01215
FT_tree_results,Hadoop_0.40,116659,32817,0.28131,11526,0.0988,7442,0.06379,5752,0.04931,5831,0.04998,7531,0.06456,3087,0.02646,1932,0.01656,1640,0.01406,1423,0.0122,2027,0.01738
FT_tree_results,Hadoop_0.50,97645,13087,0.13403,9023,0.09241,5725,0.05863,4134,0.04234,3604,0.03691,5814,0.05954,1959,0.02006,1083,0.01109,908,0.0093,779,0.00798,1178,0.01206
FT_tree_results,Hadoop_0.10,165414,26474,0.16005,17837,0.10783,11352,0.06863,9346,0.0565,8687,0.05252,11441,0.06917,4870,0.02944,2755,0.01666,2558,0.01546,2120,0.01282,2850,0.01723
FT_tree_results,Hadoop_0.30,134160,23223,0.1731,14404,0.10736,9273,0.06912,7692,0.05733,7480,0.05575,9362,0.06978,3985,0.0297,2370,0.01767,1978,0.01474,1866,0.01391,2465,0.01837
FT_tree_results,Linux_0.90,11268,5168,0.45864,4083,0.36235,2829,0.25106,3034,0.26926,2725,0.24184,2918,0.25896,2751,0.24414,1931,0.17137,2062,0.183,2017,0.179,2026,0.1798
FT_tree_results,Hadoop_0.70,57833,7452,0.12885,4829,0.0835,3112,0.05381,2212,0.03825,2119,0.03664,3201,0.05535,945,0.01634,524,0.00906,413,0.00714,389,0.00673,619,0.0107
FT_tree_results,Linux_0.10,130701,32064,0.24532,18423,0.14096,10722,0.08203,9876,0.07556,8028,0.06142,10811,0.08272,4312,0.03299,2962,0.02266,3341,0.02556,2933,0.02244,3057,0.02339
FT_tree_results,Linux_0.50,73767,23869,0.32357,11246,0.15245,6820,0.09245,6475,0.08778,5115,0.06934,6909,0.09366,2974,0.04032,2095,0.0284,2455,0.03328,2116,0.02868,2190,0.02969
FT_tree_results,Linux_0.30,101486,23356,0.23014,14938,0.14719,8868,0.08738,8167,0.08047,6594,0.06497,8957,0.08826,3005,0.02961,2075,0.02045,2402,0.02367,2085,0.02054,2170,0.02138
FT_tree_results,Linux_0.60,56532,17489,0.30936,9548,0.1689,6013,0.10636,5792,0.10246,4728,0.08363,6102,0.10794,2757,0.04877,1958,0.03464,2265,0.04007,2001,0.0354,2053,0.03632
FT_tree_results,Hadoop_0.60,77070,9943,0.12901,6339,0.08225,3990,0.05177,2672,0.03467,2587,0.03357,4079,0.05293,1282,0.01663,660,0.00856,486,0.00631,426,0.00553,755,0.0098
FT_tree_results,Linux_0.20,116100,27176,0.23407,16683,0.1437,9909,0.08535,9086,0.07826,7360,0.06339,9998,0.08612,2517,0.02168,1698,0.01463,2036,0.01754,1694,0.01459,1793,0.01544
